created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,date,hour,day,month,dayofweek
2026-04-07 14:05:33+00:00,142,0.470588235294116,0.6757990867579906,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:05:55+00:00,143,0.470588235294116,0.6712328767123288,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:06:16+00:00,144,0.529411764705884,0.6803652968036529,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:06:37+00:00,145,0.529411764705884,0.6849315068493151,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:06:59+00:00,146,0.529411764705884,0.6940639269406397,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:07:20+00:00,147,0.470588235294116,0.6803652968036529,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:07:41+00:00,148,0.529411764705884,0.689497716894977,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:08:03+00:00,149,0.529411764705884,0.6940639269406397,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:08:25+00:00,150,0.470588235294116,0.689497716894977,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:08:46+00:00,151,0.529411764705884,0.6986301369863015,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:09:07+00:00,152,0.470588235294116,0.689497716894977,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:09:28+00:00,153,0.470588235294116,0.6940639269406397,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:09:50+00:00,154,0.529411764705884,0.689497716894977,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:16:35+00:00,155,0.235294117647058,0.7123287671232874,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:16:56+00:00,156,0.235294117647058,0.6986301369863015,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:17:18+00:00,157,0.29411764705882604,0.6940639269406397,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:17:39+00:00,158,0.29411764705882604,0.6849315068493151,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:18:00+00:00,159,0.29411764705882604,0.6849315068493151,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:18:22+00:00,160,0.352941176470587,0.6849315068493151,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:18:43+00:00,161,0.29411764705882604,0.689497716894977,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:23:54+00:00,162,0.1764705882352935,0.7214611872146119,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:24:15+00:00,163,0.1764705882352935,0.7168949771689501,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:25:38+00:00,164,0.1764705882352935,0.7168949771689501,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:26:26+00:00,165,0.117647058823529,0.7214611872146119,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:26:51+00:00,166,0.117647058823529,0.7168949771689501,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:27:36+00:00,167,0.1764705882352935,0.7077625570776256,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:27:57+00:00,168,0.235294117647058,0.6940639269406397,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:28:19+00:00,169,0.235294117647058,0.6940639269406397,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:28:40+00:00,170,0.29411764705882604,0.6849315068493151,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:29:01+00:00,171,0.29411764705882604,0.6803652968036529,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:29:23+00:00,172,0.235294117647058,0.6803652968036529,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:29:44+00:00,173,0.29411764705882604,0.6803652968036529,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:30:06+00:00,174,0.235294117647058,0.6757990867579906,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:30:27+00:00,175,0.29411764705882604,0.6849315068493151,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:30:48+00:00,176,0.235294117647058,0.6849315068493151,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:31:10+00:00,177,0.29411764705882604,0.6621004566210047,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:31:31+00:00,178,0.29411764705882604,0.6621004566210047,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:31:52+00:00,179,0.235294117647058,0.6621004566210047,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:34:25+00:00,180,0.117647058823529,0.689497716894977,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:34:46+00:00,181,0.1764705882352935,0.6757990867579906,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:35:08+00:00,182,0.235294117647058,0.6666666666666665,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:35:29+00:00,183,0.235294117647058,0.657534246575342,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:35:50+00:00,184,0.235294117647058,0.657534246575342,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:36:12+00:00,185,0.29411764705882604,0.6529680365296802,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:36:33+00:00,186,0.29411764705882604,0.6438356164383561,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:36:54+00:00,187,0.29411764705882604,0.6392694063926943,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:37:16+00:00,188,0.29411764705882604,0.6392694063926943,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:37:37+00:00,189,0.29411764705882604,0.6392694063926943,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:37:58+00:00,190,0.29411764705882604,0.6392694063926943,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:38:20+00:00,191,0.352941176470587,0.6347031963470315,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:38:41+00:00,192,0.352941176470587,0.6255707762557079,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:39:03+00:00,193,0.352941176470587,0.6255707762557079,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:39:24+00:00,194,0.352941176470587,0.6210045662100456,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:39:45+00:00,195,0.29411764705882604,0.6210045662100456,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:40:07+00:00,196,0.352941176470587,0.6210045662100456,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:40:28+00:00,197,0.352941176470587,0.6210045662100456,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 15:52:50+00:00,198,0.1764705882352935,0.7579908675799087,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,15,7,4,1
2026-04-07 15:53:12+00:00,199,0.29411764705882604,0.7442922374429224,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,15,7,4,1
2026-04-07 15:53:33+00:00,200,0.29411764705882604,0.730593607305936,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,15,7,4,1
