name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,cloudcover,visibility,solarradiation,solarenergy,severerisk,soilmoisture04,soilmoisture10,windspeed50,conditions,description,icon,stations,source,windspeed,uvindex,soilmoisture01
india,2025-09-14,93.2,82.4,87.4,104.2,90.8,97.0,75.2,68.2,0.0,0,0.0,,45.1,2.7,219.1,18.8,10.0,3.5,4.8,12.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-15,96.4,80.6,87.9,106.0,85.5,95.7,73.6,64.3,0.0,0,0.0,,31.9,2.9,233.7,20.1,10.0,3.4,4.8,13.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-16,96.1,80.0,87.7,106.3,80.0,96.3,75.0,68.1,0.0,0,0.0,,51.8,4.9,224.1,19.2,10.0,3.4,4.7,10.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,INI0000VIDD,VIDP,remote,INM00042139",obs,,,
india,2025-09-17,94.3,81.1,85.8,108.1,89.5,95.8,76.8,75.8,0.044,100,25.0,rain,54.7,2.8,214.5,18.5,30.0,3.4,4.7,8.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139,remote",obs,,,
india,2025-09-18,90.5,79.6,84.2,106.1,79.6,93.8,77.2,80.3,0.036,100,12.5,rain,56.7,2.1,204.9,17.8,30.0,3.4,4.6,9.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-19,95.0,80.6,87.5,108.3,87.1,98.0,76.5,71.4,0.008,100,8.33,rain,42.6,2.3,209.8,18.2,30.0,3.5,4.7,13.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-20,95.1,80.6,87.3,107.1,87.1,96.9,75.5,69.4,0.0,0,0.0,,24.4,2.5,227.9,19.8,10.0,3.5,4.7,16.1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-21,94.3,78.8,86.4,103.8,78.8,92.6,73.3,66.6,0.0,0,0.0,,11.9,2.8,233.3,20.2,10.0,3.4,4.6,15.0,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-22,94.7,79.0,87.0,103.6,79.0,93.1,72.9,64.8,0.0,0,0.0,,5.1,2.8,220.4,19.2,10.0,3.3,4.6,16.8,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-23,95.5,77.0,86.5,98.7,77.0,89.6,69.1,58.6,0.0,0,0.0,,0.0,2.9,244.5,21.3,10.0,3.4,4.6,15.9,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-24,94.3,77.0,85.5,99.2,77.0,89.4,70.2,62.1,0.0,0,0.0,,0.0,3.0,247.0,21.3,10.0,3.4,4.6,15.2,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-25,95.0,77.0,85.8,100.5,77.0,89.7,71.0,63.3,0.0,0,0.0,,0.0,3.4,244.0,21.2,10.0,3.3,4.6,14.5,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
